Run,years,weights,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error
"[2017,2018,2019]_[1:1:8]",2017,1,-0.087540511,0.002895577,0.19843558792576993,0.1429880496101871
"[2017,2018,2019]_[1:1:8]",2018,1,-0.087540511,0.002895577,0.19843558792576993,0.1429880496101871
"[2017,2018,2019]_[1:1:8]",2019,8,-0.087540511,0.002895577,0.19843558792576993,0.1429880496101871
"[2012,2013,2014]_[1:1:8]",2012,1,-0.087421766,-0.117541846,0.16114744278099521,0.12428460427180986
"[2012,2013,2014]_[1:1:8]",2013,1,-0.087421766,-0.117541846,0.16114744278099521,0.12428460427180986
"[2012,2013,2014]_[1:1:8]",2014,8,-0.087421766,-0.117541846,0.16114744278099521,0.12428460427180986
"[2017,2018,2019]_[8:1:1]",2017,8,-0.087282537,0.009543456,0.20589305961723572,0.1465877983546583
"[2017,2018,2019]_[8:1:1]",2018,1,-0.087282537,0.009543456,0.20589305961723572,0.1465877983546583
"[2017,2018,2019]_[8:1:1]",2019,1,-0.087282537,0.009543456,0.20589305961723572,0.1465877983546583
"[2014,2012]_[1:9]",2014,1,-0.087218137,-0.146107615,0.19254457005848338,0.13988135364827048
"[2014,2012]_[1:9]",2012,9,-0.087218137,-0.146107615,0.19254457005848338,0.13988135364827048
"[2017,2019]_[1:9]",2017,1,-0.085213112,-0.094473313,0.11986699509915417,0.10254005338984187
"[2017,2019]_[1:9]",2019,9,-0.085213112,-0.094473313,0.11986699509915417,0.10254005338984187
"[2012,2013,2014]_[8:1:1]",2012,8,-0.085071542,-0.117462469,0.16102738904262817,0.12304946574376853
"[2012,2013,2014]_[8:1:1]",2013,1,-0.085071542,-0.117462469,0.16102738904262817,0.12304946574376853
"[2012,2013,2014]_[8:1:1]",2014,1,-0.085071542,-0.117462469,0.16102738904262817,0.12304946574376853
"[2019,2017]_[1:9]",2019,1,-0.084984645,-0.099884806,0.12527481103209345,0.10512972776825845
"[2019,2017]_[1:9]",2017,9,-0.084984645,-0.099884806,0.12527481103209345,0.10512972776825845
[2017],2017,1,-0.084630318,-0.160751685,0.21923969759211856,0.15193500779830055
"[2012,2017]_[1:9]",2012,1,-0.081364184,-0.161372181,0.19975977881317372,0.14056198142521897
"[2012,2017]_[1:9]",2017,9,-0.081364184,-0.161372181,0.19975977881317372,0.14056198142521897
"[2017,2012]_[1:9]",2017,1,-0.079552172,-0.158828203,0.19696229686204056,0.13825723465470208
"[2017,2012]_[1:9]",2012,9,-0.079552172,-0.158828203,0.19696229686204056,0.13825723465470208
"[2014,2013]_[1:9]",2014,1,-0.077701627,-0.16222802,0.20691581617764543,0.14230872181295023
"[2014,2013]_[1:9]",2013,9,-0.077701627,-0.16222802,0.20691581617764543,0.14230872181295023
"[2013,2014]_[1:9]",2013,1,-0.077385487,-0.158983994,0.19975484146701894,0.1385701640193202
"[2013,2014]_[1:9]",2014,9,-0.077385487,-0.158983994,0.19975484146701894,0.1385701640193202
"[2015,2014,2013]_[1:1:8]",2015,1,-0.076858898,-0.103613555,0.14241171168372926,0.1096353046543498
"[2015,2014,2013]_[1:1:8]",2014,1,-0.076858898,-0.103613555,0.14241171168372926,0.1096353046543498
"[2015,2014,2013]_[1:1:8]",2013,8,-0.076858898,-0.103613555,0.14241171168372926,0.1096353046543498
"[2014,2013,2012]_[1:1:8]",2014,1,-0.075905688,-0.15967004,0.2042685783445624,0.14008713340552223
"[2014,2013,2012]_[1:1:8]",2013,1,-0.075905688,-0.15967004,0.2042685783445624,0.14008713340552223
"[2014,2013,2012]_[1:1:8]",2012,8,-0.075905688,-0.15967004,0.2042685783445624,0.14008713340552223
"[2017,2014]_[1:9]",2017,1,-0.065796709,-0.030754819,0.11623599636853614,0.091016353
"[2017,2014]_[1:9]",2014,9,-0.065796709,-0.030754819,0.11623599636853614,0.091016353
"[2014,2017]_[1:9]",2014,1,-0.065572561,-0.030689674,0.11620206018472727,0.090887311
"[2014,2017]_[1:9]",2017,9,-0.065572561,-0.030689674,0.11620206018472727,0.090887311
"[2014,2015,2016]_[1:8:1]",2014,1,-0.056425449,-0.066778805,0.087531856,0.071978652
"[2014,2015,2016]_[1:8:1]",2015,8,-0.056425449,-0.066778805,0.087531856,0.071978652
"[2014,2015,2016]_[1:8:1]",2016,1,-0.056425449,-0.066778805,0.087531856,0.071978652
"[2018,2010]_[1:9]",2018,1,-0.055585129,-0.148944608,0.19968525472143367,0.12763519180380364
"[2018,2010]_[1:9]",2010,9,-0.055585129,-0.148944608,0.19968525472143367,0.12763519180380364
"[2010,2018]_[1:9]",2010,1,-0.055431507,-0.14890264,0.20002853660909342,0.12773002187236734
"[2010,2018]_[1:9]",2018,9,-0.055431507,-0.14890264,0.20002853660909342,0.12773002187236734
"[2014,2010]_[1:9]",2014,1,-0.055113265,-0.149547504,0.20938522359252626,0.1322492445226898
"[2014,2010]_[1:9]",2010,9,-0.055113265,-0.149547504,0.20938522359252626,0.1322492445226898
"[2014,2015,2016]_[8:1:1]",2014,8,-0.054766768,-0.066537932,0.087158467,0.070962617
