techs,technologies,year,flow_out_carrier,Flow Capacity (Power) (MW),Storage Capacity (MWh),Flow Capacity (Hydrogen) (MW),Cost Investment,Cost Investment Annualised,carriers,Cost Investment Flow Cap,Cost Investment Storage Cap,Cost Fixed Opex
h2_elec_conversion,h2_elec_conversion,2018,power,14614.600000000002,,26097.5,3810.6525600000004,419.81224632116766,power,1367.9265600000003,,1268.4261876
h2_salt_cavern,h2_salt_cavern,2018,hydrogen,,2108623.66285653,26097.500000000004,6726.50948451233,672.6997633911504,,,6726.50948451233,
nuclear,nuclear,2018,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2018,power,25031.824840520097,,,53067.46866190261,5744.959038902539,power,53067.46866190261,,1251.591242026005
onshore_wind,onshore_wind,2018,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2018,power,41533.554472565156,,,23258.79050463649,2411.6971288712284,power,23258.79050463649,,469.3291655399862
battery,battery,2019,power,2995.4757447679895,998.4919149226631,,1108.3260255641562,130.18355908841275,,,1108.3260255641562,
demand_power,demand_power,2019,,18020.0,,,,,,,,
electrolyser,electrolyser,2019,hydrogen,11011.558659160224,,7157.513128454146,21802.886145137243,2401.9819347882844,hydrogen,8589.015754144975,,436.0577229027449
electrolyser,electrolyser,2019,hydrogen,11011.558659160224,,7157.513128454146,21802.886145137243,2401.9819347882844,power,13213.870390992268,,436.0577229027449
h2_elec_conversion,h2_elec_conversion,2019,power,14980.526222854669,,26750.93968366905,3906.0652088506204,430.32367390758384,hydrogen,2503.887954391423,,1300.185551783653
h2_elec_conversion,h2_elec_conversion,2019,power,14980.526222854669,,26750.93968366905,3906.0652088506204,430.32367390758384,power,1402.177254459197,,1300.185551783653
h2_salt_cavern,h2_salt_cavern,2019,hydrogen,,4040059.276777738,26750.93968366905,12887.789092920984,1288.8724372432127,,,12887.789092920984,
nuclear,nuclear,2019,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2019,power,27822.05910850236,,,58982.765310025,6385.335107392448,power,58982.765310025,,1391.1029554251181
onshore_wind,onshore_wind,2019,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2019,power,33629.80130351249,,,18832.688729966994,1952.7559410250938,power,18832.688729966994,,380.0167547296911
battery,battery,Full: 2010-2019,power,3644.6380608241734,1214.8793536080577,,1348.5160825049443,1584.8298548532248,,,1348.5160825049443,
demand_power,demand_power,Full: 2010-2019,,18950.0,,,,,,,,
electrolyser,electrolyser,Full: 2010-2019,hydrogen,10806.358849870665,,7024.1332524159325,21396.590522743914,23585.12757346038,hydrogen,8428.959902899118,,4281.662936386892
electrolyser,electrolyser,Full: 2010-2019,hydrogen,10806.358849870665,,7024.1332524159325,21396.590522743914,23585.12757346038,power,12967.630619844798,,4281.662936386892
h2_elec_conversion,h2_elec_conversion,Full: 2010-2019,power,15657.43714850233,,27959.70919375416,4082.564897635207,4500.147527490729,hydrogen,2617.028780535389,,13596.804338017757
h2_elec_conversion,h2_elec_conversion,Full: 2010-2019,power,15657.43714850233,,27959.70919375416,4082.564897635207,4500.147527490729,power,1465.536117099818,,13596.804338017757
h2_salt_cavern,h2_salt_cavern,Full: 2010-2019,hydrogen,,11465509.325063242,27959.70919375416,36574.97474695174,36597.67156524233,,,36574.97474695174,
nuclear,nuclear,Full: 2010-2019,power,1650.0,,,11427.9,11692.506964308972,power,11427.9,,2740.5008219178085
offshore_wind,offshore_wind,Full: 2010-2019,power,26555.814931913803,,,56298.32765565727,60980.63791006131,power,56298.32765565727,,13285.183031691675
onshore_wind,onshore_wind,Full: 2010-2019,power,16000.0,,,17760.0,19237.09236812223,power,17760.0,,2625.4378082191784
solar,solar,Full: 2010-2019,power,50036.028318000834,,,28020.17585808047,29069.957741989554,power,28020.17585808047,,5657.169321139538
