,nodes,techs,costs,Value,source_model
1,netherlands,electrolyser,monetary,29791.454227882925,results_plan_cluster_2011_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19097.352525253038,results_plan_cluster_2011_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24111.420885253076,results_plan_cluster_2011_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15275.656079716,results_plan_cluster_2011_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,83787.49425874844,results_plan_cluster_2011_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22407.704468249598,results_plan_cluster_2011_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,28455.845128635025,results_plan_cluster_2011_2010_weights_1_9.netcdf
0,netherlands,battery,monetary,1016.0407059337231,results_plan_cluster_2011_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,29667.715052860487,results_plan_cluster_2011_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,18962.132332098343,results_plan_cluster_2011_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,24064.95727514729,results_plan_cluster_2011_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,84149.51893918615,results_plan_cluster_2011_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22492.055305953192,results_plan_cluster_2011_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,28484.116122582334,results_plan_cluster_2011_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1345.8465790970606,results_plan_cluster_2011_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29062.50541893438,results_plan_cluster_2011_2012_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18260.236972216837,results_plan_cluster_2011_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15549.861580711111,results_plan_cluster_2011_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15299.122542692732,results_plan_cluster_2011_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,76214.88551685397,results_plan_cluster_2011_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22527.029571682397,results_plan_cluster_2011_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,29110.3817613065,results_plan_cluster_2011_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,1628.4458402949076,results_plan_cluster_2011_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29645.78749511342,results_plan_cluster_2011_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18080.389864158748,results_plan_cluster_2011_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,13517.04461177065,results_plan_cluster_2011_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,73736.65115175894,results_plan_cluster_2011_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22470.893128494703,results_plan_cluster_2011_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,29988.625210354294,results_plan_cluster_2011_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,1136.0597579802834,results_plan_cluster_2011_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31466.317614870495,results_plan_cluster_2011_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18286.9475599757,results_plan_cluster_2011_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16003.283408774907,results_plan_cluster_2011_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2014_weights_1_9.netcdf
