timesteps,nodes,techs,sink_use_equals
2019-01-14 19:00:00,netherlands,demand_power,15647.0
2019-01-14 20:00:00,netherlands,demand_power,14746.0
2019-01-14 21:00:00,netherlands,demand_power,13775.0
2019-01-14 22:00:00,netherlands,demand_power,12857.0
2019-01-14 23:00:00,netherlands,demand_power,12284.0
2019-01-15 00:00:00,netherlands,demand_power,11775.0
2019-01-15 01:00:00,netherlands,demand_power,11621.0
2019-01-15 02:00:00,netherlands,demand_power,11561.0
2019-01-15 03:00:00,netherlands,demand_power,11638.0
2019-01-15 04:00:00,netherlands,demand_power,12119.0
2019-01-15 05:00:00,netherlands,demand_power,13503.0
2019-01-15 06:00:00,netherlands,demand_power,15489.0
2019-01-15 07:00:00,netherlands,demand_power,16714.0
2019-01-15 08:00:00,netherlands,demand_power,16860.0
2019-01-15 09:00:00,netherlands,demand_power,16730.0
2019-01-15 10:00:00,netherlands,demand_power,16616.0
2019-01-15 11:00:00,netherlands,demand_power,16360.0
2019-01-15 12:00:00,netherlands,demand_power,16476.0
2019-01-15 13:00:00,netherlands,demand_power,16484.0
2019-01-15 14:00:00,netherlands,demand_power,16522.0
2019-01-15 15:00:00,netherlands,demand_power,16784.0
2019-01-15 16:00:00,netherlands,demand_power,17491.0
2019-01-15 17:00:00,netherlands,demand_power,16756.0
2019-01-15 18:00:00,netherlands,demand_power,16123.0
2019-01-15 19:00:00,netherlands,demand_power,15416.0
2019-01-15 20:00:00,netherlands,demand_power,14459.0
2019-01-15 21:00:00,netherlands,demand_power,13493.0
2019-01-15 22:00:00,netherlands,demand_power,12602.0
2019-01-15 23:00:00,netherlands,demand_power,12014.0
2019-01-16 00:00:00,netherlands,demand_power,11558.0
2019-01-16 01:00:00,netherlands,demand_power,11342.0
2019-01-16 02:00:00,netherlands,demand_power,11227.0
2019-01-16 03:00:00,netherlands,demand_power,11371.0
2019-01-16 04:00:00,netherlands,demand_power,11828.0
2019-01-16 05:00:00,netherlands,demand_power,13271.0
2019-01-16 06:00:00,netherlands,demand_power,15274.0
2019-01-16 07:00:00,netherlands,demand_power,16638.0
2019-01-16 08:00:00,netherlands,demand_power,16979.0
2019-01-16 09:00:00,netherlands,demand_power,16896.0
2019-01-16 10:00:00,netherlands,demand_power,17002.0
2019-01-16 11:00:00,netherlands,demand_power,16836.0
2019-01-16 12:00:00,netherlands,demand_power,16894.0
2019-01-16 13:00:00,netherlands,demand_power,16881.0
2019-01-16 14:00:00,netherlands,demand_power,16797.0
2019-01-16 15:00:00,netherlands,demand_power,16933.0
2019-01-16 16:00:00,netherlands,demand_power,17542.0
2019-01-16 17:00:00,netherlands,demand_power,16766.0
2019-01-16 18:00:00,netherlands,demand_power,16143.0
2019-01-16 19:00:00,netherlands,demand_power,15381.0
2019-01-16 20:00:00,netherlands,demand_power,14561.0
2019-01-16 21:00:00,netherlands,demand_power,13547.0
2019-01-16 22:00:00,netherlands,demand_power,12670.0
2019-01-16 23:00:00,netherlands,demand_power,12095.0
2019-01-17 00:00:00,netherlands,demand_power,11717.0
2019-01-17 01:00:00,netherlands,demand_power,11467.0
2019-01-17 02:00:00,netherlands,demand_power,11398.0
2019-01-17 03:00:00,netherlands,demand_power,11520.0
2019-01-17 04:00:00,netherlands,demand_power,12017.0
2019-01-17 05:00:00,netherlands,demand_power,13393.0
2019-01-17 06:00:00,netherlands,demand_power,15411.0
2019-01-17 07:00:00,netherlands,demand_power,16721.0
2019-01-17 08:00:00,netherlands,demand_power,17077.0
2019-01-17 09:00:00,netherlands,demand_power,17111.0
2019-01-17 10:00:00,netherlands,demand_power,17105.0
2019-01-17 11:00:00,netherlands,demand_power,16753.0
2019-01-17 12:00:00,netherlands,demand_power,16627.0
2019-01-17 13:00:00,netherlands,demand_power,16511.0
2019-01-17 14:00:00,netherlands,demand_power,16778.0
2019-01-17 15:00:00,netherlands,demand_power,17100.0
2019-01-17 16:00:00,netherlands,demand_power,17788.0
2019-01-17 17:00:00,netherlands,demand_power,17204.0
2019-01-17 18:00:00,netherlands,demand_power,16675.0
2019-01-17 19:00:00,netherlands,demand_power,15826.0
2019-01-17 20:00:00,netherlands,demand_power,14914.0
2019-01-17 21:00:00,netherlands,demand_power,13880.0
2019-01-17 22:00:00,netherlands,demand_power,13006.0
2019-01-17 23:00:00,netherlands,demand_power,12395.0
2019-01-18 00:00:00,netherlands,demand_power,12035.0
2019-01-18 01:00:00,netherlands,demand_power,11754.0
2019-01-18 02:00:00,netherlands,demand_power,11681.0
2019-01-18 03:00:00,netherlands,demand_power,11784.0
2019-01-18 04:00:00,netherlands,demand_power,12269.0
2019-01-18 05:00:00,netherlands,demand_power,13631.0
2019-01-18 06:00:00,netherlands,demand_power,15662.0
2019-01-18 07:00:00,netherlands,demand_power,16910.0
2019-01-18 08:00:00,netherlands,demand_power,17103.0
2019-01-18 09:00:00,netherlands,demand_power,16750.0
2019-01-18 10:00:00,netherlands,demand_power,16270.0
2019-01-18 11:00:00,netherlands,demand_power,15890.0
2019-01-18 12:00:00,netherlands,demand_power,16073.0
2019-01-18 13:00:00,netherlands,demand_power,16246.0
2019-01-18 14:00:00,netherlands,demand_power,16415.0
2019-01-18 15:00:00,netherlands,demand_power,16654.0
2019-01-18 16:00:00,netherlands,demand_power,17425.0
2019-01-18 17:00:00,netherlands,demand_power,16869.0
2019-01-18 18:00:00,netherlands,demand_power,16280.0
2019-01-18 19:00:00,netherlands,demand_power,15507.0
2019-01-18 20:00:00,netherlands,demand_power,14600.0
2019-01-18 21:00:00,netherlands,demand_power,13693.0
2019-01-18 22:00:00,netherlands,demand_power,13024.0
2019-01-18 23:00:00,netherlands,demand_power,12515.0
2019-01-19 00:00:00,netherlands,demand_power,12007.0
2019-01-19 01:00:00,netherlands,demand_power,11627.0
2019-01-19 02:00:00,netherlands,demand_power,11481.0
2019-01-19 03:00:00,netherlands,demand_power,11403.0
2019-01-19 04:00:00,netherlands,demand_power,11588.0
2019-01-19 05:00:00,netherlands,demand_power,12090.0
2019-01-19 06:00:00,netherlands,demand_power,12964.0
2019-01-19 07:00:00,netherlands,demand_power,14016.0
2019-01-19 08:00:00,netherlands,demand_power,14684.0
2019-01-19 09:00:00,netherlands,demand_power,14699.0
2019-01-19 10:00:00,netherlands,demand_power,14377.0
2019-01-19 11:00:00,netherlands,demand_power,13998.0
2019-01-19 12:00:00,netherlands,demand_power,13743.0
2019-01-19 13:00:00,netherlands,demand_power,13721.0
2019-01-19 14:00:00,netherlands,demand_power,13943.0
2019-01-19 15:00:00,netherlands,demand_power,14463.0
2019-01-19 16:00:00,netherlands,demand_power,15615.0
2019-01-19 17:00:00,netherlands,demand_power,15453.0
2019-01-19 18:00:00,netherlands,demand_power,14989.0
2019-01-19 19:00:00,netherlands,demand_power,14376.0
2019-01-19 20:00:00,netherlands,demand_power,13666.0
2019-01-19 21:00:00,netherlands,demand_power,13057.0
2019-01-19 22:00:00,netherlands,demand_power,12452.0
2019-01-19 23:00:00,netherlands,demand_power,12019.0
2019-01-20 00:00:00,netherlands,demand_power,11594.0
2019-01-20 01:00:00,netherlands,demand_power,11306.0
2019-01-20 02:00:00,netherlands,demand_power,11154.0
2019-01-20 03:00:00,netherlands,demand_power,11127.0
2019-01-20 04:00:00,netherlands,demand_power,11250.0
2019-01-20 05:00:00,netherlands,demand_power,11539.0
2019-01-20 06:00:00,netherlands,demand_power,12057.0
2019-01-20 07:00:00,netherlands,demand_power,12744.0
2019-01-20 08:00:00,netherlands,demand_power,13211.0
2019-01-20 09:00:00,netherlands,demand_power,13234.0
2019-01-20 10:00:00,netherlands,demand_power,13064.0
2019-01-20 11:00:00,netherlands,demand_power,12980.0
2019-01-20 12:00:00,netherlands,demand_power,12870.0
2019-01-20 13:00:00,netherlands,demand_power,12921.0
2019-01-20 14:00:00,netherlands,demand_power,13203.0
2019-01-20 15:00:00,netherlands,demand_power,13823.0
2019-01-20 16:00:00,netherlands,demand_power,15145.0
2019-01-20 17:00:00,netherlands,demand_power,15286.0
2019-01-20 18:00:00,netherlands,demand_power,14938.0
2019-01-20 19:00:00,netherlands,demand_power,14456.0
2019-01-20 20:00:00,netherlands,demand_power,13822.0
2019-01-20 21:00:00,netherlands,demand_power,13143.0
2019-01-20 22:00:00,netherlands,demand_power,12351.0
2019-01-20 23:00:00,netherlands,demand_power,11932.0
2019-01-21 00:00:00,netherlands,demand_power,11680.0
2019-01-21 01:00:00,netherlands,demand_power,11528.0
2019-01-21 02:00:00,netherlands,demand_power,11557.0
2019-01-21 03:00:00,netherlands,demand_power,11717.0
2019-01-21 04:00:00,netherlands,demand_power,12320.0
2019-01-21 05:00:00,netherlands,demand_power,13854.0
2019-01-21 06:00:00,netherlands,demand_power,15928.0
2019-01-21 07:00:00,netherlands,demand_power,17198.0
2019-01-21 08:00:00,netherlands,demand_power,17262.0
2019-01-21 09:00:00,netherlands,demand_power,16780.0
2019-01-21 10:00:00,netherlands,demand_power,16342.0
2019-01-21 11:00:00,netherlands,demand_power,15897.0
2019-01-21 12:00:00,netherlands,demand_power,15921.0
2019-01-21 13:00:00,netherlands,demand_power,16086.0
2019-01-21 14:00:00,netherlands,demand_power,16520.0
2019-01-21 15:00:00,netherlands,demand_power,16897.0
2019-01-21 16:00:00,netherlands,demand_power,17706.0
