,model_name,run_time,objective_function,mean_absolute_capacity_error,ldes_capacity_error
45,n_days_40_seed_45,2.3017239570617676,20822.841459035455,0.2544409788359796,0.2999228131033926
46,n_days_40_seed_46,2.2354319095611572,20826.009702397827,0.4750879748573551,0.6374994333118175
47,n_days_40_seed_47,2.378492832183838,20348.27903771548,0.13189600803853083,0.2677237652171198
48,n_days_40_seed_48,2.1911590099334717,26302.62115240274,0.5337105033701485,-0.19436375571828596
49,n_days_40_seed_49,2.2943150997161865,22260.41101847535,0.24027420652550757,0.5993934820471873
50,n_days_40_seed_50,2.4062130451202393,21769.754699004065,0.11277304188151487,0.17482817870290102
51,n_days_40_seed_51,2.1991961002349854,23111.34298706273,0.5102052394230495,-0.22570491436542303
52,n_days_40_seed_52,2.236549139022827,22783.61333507923,0.06289066274489896,0.3586613911142596
53,n_days_40_seed_53,2.4328970909118652,23278.86272630411,0.08768857425975214,-0.2072545529048348
54,n_days_40_seed_54,2.411776065826416,22323.466867130726,0.03131701211305886,-0.06753490143070189
55,n_days_40_seed_55,2.0064690113067627,23475.74413029179,0.12970446454192516,-0.09458903344931141
56,n_days_40_seed_56,2.467686891555786,21001.843309331798,0.09435036917625017,0.23277737325644443
57,n_days_40_seed_57,2.566099166870117,21355.215332688716,0.08966417811931554,0.14207221476755474
58,n_days_40_seed_58,2.3773908615112305,25408.36765810697,0.4175744293317508,-0.14903948748878726
59,n_days_40_seed_59,2.490196943283081,25024.977546146427,0.39975390711549047,-0.5852486811409912
60,n_days_40_seed_60,2.4148080348968506,23753.110607323695,0.2648045109758123,0.35032488133643813
61,n_days_40_seed_61,2.717768907546997,20295.713123701058,0.11872680084778992,0.3003688415350631
62,n_days_40_seed_62,2.6920599937438965,22103.886553485572,0.10395009723986831,0.2691301986641267
63,n_days_40_seed_63,3.2674598693847656,22968.33193842609,0.4342173701505423,0.051852349509209396
64,n_days_40_seed_64,2.623505115509033,27557.913898641225,0.3055743290818271,-0.6294108263758538
65,n_days_40_seed_65,2.5251190662384033,20794.388378863616,0.12155498672280256,0.25287535161023156
66,n_days_40_seed_66,2.729651927947998,24188.60408190503,0.14980172037207146,-0.6685022282202318
67,n_days_40_seed_67,2.3151309490203857,21204.943055126143,0.24739092705848476,0.6910203228425941
68,n_days_40_seed_68,2.4793460369110107,26411.54084484181,0.46886043301045865,-0.8401289004712366
69,n_days_40_seed_69,2.748518943786621,23089.73299901806,0.09328016078590708,0.3780283864328765
70,n_days_40_seed_70,2.7786519527435303,18978.878091395156,0.1003914582898526,0.5736904023791619
71,n_days_40_seed_71,2.315793991088867,21640.952772965094,1.0945790290473887,0.4700958961319913
72,n_days_40_seed_72,2.5612950325012207,21110.41015218309,0.2564797541254804,0.3931924194318392
