nodes,techs,carriers,timesteps,flow_in
netherlands,hydrogen_storage_system,power,2019-01-04 15:00:00,3146371.5482960045
netherlands,hydrogen_storage_system,power,2019-01-04 16:00:00,2409956.311748458
netherlands,hydrogen_storage_system,power,2019-01-04 17:00:00,2844728.378077956
netherlands,hydrogen_storage_system,power,2019-01-04 18:00:00,3183170.496973574
netherlands,hydrogen_storage_system,power,2019-01-04 19:00:00,3661947.6421522517
netherlands,hydrogen_storage_system,power,2019-01-04 20:00:00,4267798.014177792
netherlands,hydrogen_storage_system,power,2019-01-04 21:00:00,5889709.967249669
netherlands,hydrogen_storage_system,power,2019-01-04 22:00:00,8053384.245418962
netherlands,hydrogen_storage_system,power,2019-01-04 23:00:00,10762618.944117228
netherlands,hydrogen_storage_system,power,2019-01-05 00:00:00,13181112.267970953
netherlands,hydrogen_storage_system,power,2019-01-05 01:00:00,15494811.940386161
netherlands,hydrogen_storage_system,power,2019-01-05 02:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 03:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 04:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 05:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 08:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 09:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 10:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-05 11:00:00,14905339.434865551
netherlands,hydrogen_storage_system,power,2019-01-05 12:00:00,13492463.832762001
netherlands,hydrogen_storage_system,power,2019-01-05 13:00:00,12404443.573089257
netherlands,hydrogen_storage_system,power,2019-01-05 14:00:00,11510633.217472821
netherlands,hydrogen_storage_system,power,2019-01-05 15:00:00,10409100.840560295
netherlands,hydrogen_storage_system,power,2019-01-05 16:00:00,9278011.10745359
