timesteps,nodes,techs,source_use_max
2019-01-03 02:00:00,netherlands,offshore_wind,0.2619
2019-01-03 02:00:00,netherlands,onshore_wind,0.1728
2019-01-03 02:00:00,netherlands,solar,0.0
2019-01-03 03:00:00,netherlands,offshore_wind,0.2751
2019-01-03 03:00:00,netherlands,onshore_wind,0.1839
2019-01-03 03:00:00,netherlands,solar,0.0
2019-01-03 04:00:00,netherlands,offshore_wind,0.2905
2019-01-03 04:00:00,netherlands,onshore_wind,0.1993
2019-01-03 04:00:00,netherlands,solar,0.0
2019-01-03 05:00:00,netherlands,offshore_wind,0.2911
2019-01-03 05:00:00,netherlands,onshore_wind,0.2068
2019-01-03 05:00:00,netherlands,solar,0.0
2019-01-03 06:00:00,netherlands,offshore_wind,0.2846
2019-01-03 06:00:00,netherlands,onshore_wind,0.208
2019-01-03 06:00:00,netherlands,solar,0.0
2019-01-03 07:00:00,netherlands,offshore_wind,0.2831
2019-01-03 07:00:00,netherlands,onshore_wind,0.2106
2019-01-03 07:00:00,netherlands,solar,0.0
2019-01-03 08:00:00,netherlands,offshore_wind,0.2765
2019-01-03 08:00:00,netherlands,onshore_wind,0.2043
2019-01-03 08:00:00,netherlands,solar,0.028
2019-01-03 09:00:00,netherlands,offshore_wind,0.2416
2019-01-03 09:00:00,netherlands,onshore_wind,0.1711
2019-01-03 09:00:00,netherlands,solar,0.088
2019-01-03 10:00:00,netherlands,offshore_wind,0.2092
2019-01-03 10:00:00,netherlands,onshore_wind,0.1403
2019-01-03 10:00:00,netherlands,solar,0.144
2019-01-03 11:00:00,netherlands,offshore_wind,0.2119
2019-01-03 11:00:00,netherlands,onshore_wind,0.1564
2019-01-03 11:00:00,netherlands,solar,0.173
2019-01-03 12:00:00,netherlands,offshore_wind,0.2082
2019-01-03 12:00:00,netherlands,onshore_wind,0.1584
2019-01-03 12:00:00,netherlands,solar,0.145
2019-01-03 13:00:00,netherlands,offshore_wind,0.1896
2019-01-03 13:00:00,netherlands,onshore_wind,0.134
2019-01-03 13:00:00,netherlands,solar,0.09
2019-01-03 14:00:00,netherlands,offshore_wind,0.1921
2019-01-03 14:00:00,netherlands,onshore_wind,0.1289
2019-01-03 14:00:00,netherlands,solar,0.037
2019-01-03 15:00:00,netherlands,offshore_wind,0.2206
2019-01-03 15:00:00,netherlands,onshore_wind,0.1493
2019-01-03 15:00:00,netherlands,solar,0.001
2019-01-03 16:00:00,netherlands,offshore_wind,0.2363
2019-01-03 16:00:00,netherlands,onshore_wind,0.1616
2019-01-03 16:00:00,netherlands,solar,0.0
2019-01-03 17:00:00,netherlands,offshore_wind,0.2357
2019-01-03 17:00:00,netherlands,onshore_wind,0.1564
2019-01-03 17:00:00,netherlands,solar,0.0
2019-01-03 18:00:00,netherlands,offshore_wind,0.2051
2019-01-03 18:00:00,netherlands,onshore_wind,0.1329
2019-01-03 18:00:00,netherlands,solar,0.0
2019-01-03 19:00:00,netherlands,offshore_wind,0.1603
2019-01-03 19:00:00,netherlands,onshore_wind,0.107
2019-01-03 19:00:00,netherlands,solar,0.0
2019-01-03 20:00:00,netherlands,offshore_wind,0.1535
2019-01-03 20:00:00,netherlands,onshore_wind,0.1025
2019-01-03 20:00:00,netherlands,solar,0.0
2019-01-03 21:00:00,netherlands,offshore_wind,0.183
2019-01-03 21:00:00,netherlands,onshore_wind,0.1146
2019-01-03 21:00:00,netherlands,solar,0.0
2019-01-03 22:00:00,netherlands,offshore_wind,0.1882
2019-01-03 22:00:00,netherlands,onshore_wind,0.1175
2019-01-03 22:00:00,netherlands,solar,0.0
2019-01-03 23:00:00,netherlands,offshore_wind,0.171
2019-01-03 23:00:00,netherlands,onshore_wind,0.1123
2019-01-03 23:00:00,netherlands,solar,0.0
2019-01-04 00:00:00,netherlands,offshore_wind,0.1565
2019-01-04 00:00:00,netherlands,onshore_wind,0.1108
2019-01-04 00:00:00,netherlands,solar,0.0
2019-01-04 01:00:00,netherlands,offshore_wind,0.1597
2019-01-04 01:00:00,netherlands,onshore_wind,0.1195
2019-01-04 01:00:00,netherlands,solar,0.0
2019-01-04 02:00:00,netherlands,offshore_wind,0.1788
2019-01-04 02:00:00,netherlands,onshore_wind,0.137
2019-01-04 02:00:00,netherlands,solar,0.0
2019-01-04 03:00:00,netherlands,offshore_wind,0.2052
2019-01-04 03:00:00,netherlands,onshore_wind,0.1657
2019-01-04 03:00:00,netherlands,solar,0.0
2019-01-04 04:00:00,netherlands,offshore_wind,0.2522
2019-01-04 04:00:00,netherlands,onshore_wind,0.2033
2019-01-04 04:00:00,netherlands,solar,0.0
2019-01-04 05:00:00,netherlands,offshore_wind,0.3141
2019-01-04 05:00:00,netherlands,onshore_wind,0.2409
2019-01-04 05:00:00,netherlands,solar,0.0
2019-01-04 06:00:00,netherlands,offshore_wind,0.3593
2019-01-04 06:00:00,netherlands,onshore_wind,0.2631
2019-01-04 06:00:00,netherlands,solar,0.0
2019-01-04 07:00:00,netherlands,offshore_wind,0.3778
2019-01-04 07:00:00,netherlands,onshore_wind,0.2753
2019-01-04 07:00:00,netherlands,solar,0.0
2019-01-04 08:00:00,netherlands,offshore_wind,0.4004
2019-01-04 08:00:00,netherlands,onshore_wind,0.2927
2019-01-04 08:00:00,netherlands,solar,0.015
2019-01-04 09:00:00,netherlands,offshore_wind,0.4061
2019-01-04 09:00:00,netherlands,onshore_wind,0.2924
2019-01-04 09:00:00,netherlands,solar,0.062
2019-01-04 10:00:00,netherlands,offshore_wind,0.4109
2019-01-04 10:00:00,netherlands,onshore_wind,0.2908
2019-01-04 10:00:00,netherlands,solar,0.114
2019-01-04 11:00:00,netherlands,offshore_wind,0.4203
2019-01-04 11:00:00,netherlands,onshore_wind,0.3002
2019-01-04 11:00:00,netherlands,solar,0.113
2019-01-04 12:00:00,netherlands,offshore_wind,0.4283
2019-01-04 12:00:00,netherlands,onshore_wind,0.2992
2019-01-04 12:00:00,netherlands,solar,0.091
2019-01-04 13:00:00,netherlands,offshore_wind,0.4324
2019-01-04 13:00:00,netherlands,onshore_wind,0.2899
2019-01-04 13:00:00,netherlands,solar,0.045
2019-01-04 14:00:00,netherlands,offshore_wind,0.436
2019-01-04 14:00:00,netherlands,onshore_wind,0.2763
2019-01-04 14:00:00,netherlands,solar,0.013
2019-01-04 15:00:00,netherlands,offshore_wind,0.4276
2019-01-04 15:00:00,netherlands,onshore_wind,0.2662
2019-01-04 15:00:00,netherlands,solar,0.0
2019-01-04 16:00:00,netherlands,offshore_wind,0.4204
2019-01-04 16:00:00,netherlands,onshore_wind,0.261
2019-01-04 16:00:00,netherlands,solar,0.0
2019-01-04 17:00:00,netherlands,offshore_wind,0.4072
2019-01-04 17:00:00,netherlands,onshore_wind,0.264
