,demand_error,solar_cf_error,offshore_cf_error,onshore_cf_error,overall_cf_error,compound_error,Years,Weights
signed,-0.005553241981880648,-0.01053767700559871,-0.0028202594901487682,-0.01614075404035522,-0.009832896845367567,-0.008762983129495836,"2012,2013,2014","1,8,1"
absolute,0.05755702702814004,0.30620736624764494,0.4969559117733912,0.4848040764133164,0.42932245147811754,0.33638109536562316,"2012,2013,2014","8,1,1"
signed,-0.004147552561406154,-0.030284295197294173,-0.0017725996903124519,-0.00839599594765505,-0.013484296945087224,-0.011150110849166957,"2012,2013,2014","8,1,1"
absolute,0.05365798069885964,0.3030618340725905,0.4917695088516666,0.4809596511128224,0.4252636646790265,0.3323622436839848,"2012,2015,2016","8,1,1"
signed,-0.0029082143593234548,-0.024875019312949262,0.0006088917009657111,-0.005443693643485806,-0.00990327375182312,-0.008154508903698203,"2012,2015,2016","8,1,1"
absolute,0.058224876819963786,0.3011454983513394,0.5011048300050043,0.488222609335923,0.4301576458974223,0.33717445362805765,"2012,2016,2017","8,1,1"
signed,-0.0026881188158807004,-0.02988858868055545,-0.010483774425417225,-0.016670374983824045,-0.01901424602993224,-0.014932714226419355,"2012,2016,2017","8,1,1"
absolute,0.06467519601091573,0.31905126667900957,0.5090655625792465,0.5000870750109581,0.4427346347564047,0.34821977507003243,"2013,2012,2011","1,1,8"
signed,-0.005162253521388372,-0.00253611022859341,0.020910749280467968,0.022463643125880062,0.013612760725918207,0.008919007164091563,"2013,2012,2011","1,1,8"
absolute,0.0509283892531048,0.3080896171355697,0.49204366087312396,0.49414610500309436,0.43142646100392934,0.3363019430662232,"2013,2014,2015","1,1,8"
signed,0.0005242725158144747,0.0005897283839241654,0.05791692046313425,0.061794382942399445,0.04010034392981929,0.030206326076318086,"2013,2014,2015","1,1,8"
absolute,0.06447250600692551,0.29308379420396236,0.48499244450362505,0.47401654052461323,0.41736425974406693,0.3291413213097816,"2013,2014,2015","1,8,1"
signed,-0.0017913080054407023,-0.005956126095949251,-0.025742312995671465,-0.020416165609289993,-0.017371534900303572,-0.013476478176587854,"2013,2014,2015","1,8,1"
absolute,0.05982592122882017,0.30650597650955613,0.4848244184130784,0.46762677135713665,0.4196523887599237,0.3296957718771478,"2013,2014,2015","8,1,1"
signed,-0.0025857975401368505,-0.005150827207462039,0.007031071119363965,-0.005011042307994024,-0.0010435994653640328,-0.001429148984057237,"2013,2014,2015","8,1,1"
absolute,0.05475653994384066,0.30990819166864836,0.4842936061305954,0.4664979820807506,0.4202332599599981,0.32886407995595873,"2013,2015,2016","8,1,1"
